Country,State Code,State Name,Town Code,Town Name
by,,,517232383,Hrodna
by,,,518061033,Mahiljow
by,,,511400927,Mazyr
by,,,518096755,Minsk
by,,,523964866,Navapolack
by,,,522705018,Vicebsk
bz,,,,-- please select
bz,,,387009181,Belize
bz,,,386109121,Belmopan
bm,,,,-- please select
bm,,,440291521,Hamilton
bo,,,,-- please select
bo,,,284339123,Cobija
bo,,,261443383,Cochabamba
bo,,,264611183,El Alto
bo,,,264611185,La Paz
bo,,,259283288,Oruro
bo,,,253559425,Potosí
bo,,,260039679,Santa Cruz
bo,,,255395474,Sucre
bo,,,246503526,Tarija
bo,,,270587509,Trinidad
br,,,,-- please select
br,,,246937405,Alfenas
br,,,284738293,Aracaju
br,,,247656955,Araçatuba
br,,,245713187,Araraquara
br,,,211260590,Bagé
br,,,248809241,Batatais
br,,,243625092,Bauru
br,,,318829150,Belém
br,,,252301606,Belo Horizonte
br,,,227101091,Blumenau
br,,,334199934,Boa Vista
br,,,241645155,Botucatu
br,,,267205209,Brasília
br,,,297986412,Campina Grande
br,,,241537292,Campinas
br,,,250392537,Campo Grande
br,,,216300882,Canoas
br,,,309146175,Cascavel
br,,,218964883,Caxias do Sul
br,,,297986058,Crato
br,,,220765061,Criciúma
br,,,220908638,Cruz Alta
br,,,278402089,Cruz das Almas
br,,,267816391,Cuiabá
br,,,232501071,Curitiba
br,,,243984519,Dourados
br,,,242041669,Duque de Caxias
br,,,224544773,Erechim
br,,,244093325,Espírito Santo do Pinhal
br,,,279914103,Feira de Santana
br,,,224653146,Florianópolis
br,,,310406141,Fortaleza
br,,,250105261,Franca
br,,,266664987,Goiás
br,,,256081803,Governador Valadares
br,,,232644852,Guarapuava
br,,,239557351,Guarulhos
br,,,221808608,Ijuí
br,,,270806095,Ilhéus
br,,,227173132,Itajaí
br,,,243301455,Itajubá
br,,,251797543,Itaúna
br,,,250825221,Ituverava
br,,,242365301,Jaguariúna
br,,,226200850,Joaçaba
br,,,298382514,João Pessoa
br,,,290101950,Juazeiro
br,,,245713664,Juiz de Fora
br,,,247513499,Lavras
br,,,240132882,Londrina
br,,,324156895,Macapá
br,,,289274425,Maceió
br,,,312779998,Manaus
br,,,321277254,Maracanã
br,,,244057005,Marília
br,,,239736807,Maringá
br,,,239341379,Moji das Cruzes
br,,,263821614,Montes Claros
br,,,305330266,Mossoró
br,,,303134478,Natal
br,,,241573687,Niterói
br,,,242149653,Nova Iguaçu
br,,,239305322,Osasco
br,,,250645649,Ouro Preto
br,,,287041169,Palmas
br,,,222312758,Passo Fundo
br,,,209676766,Pelotas
br,,,290245949,Petrolina
br,,,242977680,Petrópolis
br,,,242257236,Piracicaba
br,,,233688984,Ponta Grossa
br,,,215868878,Porto Alegre
br,,,292475609,Porto Velho
br,,,244380861,Presidente Prudente
br,,,294926508,Recife
br,,,247801220,Ribeirão Preto
br,,,288083218,Rio Branco
br,,,241537680,Rio de Janeiro
br,,,226057035,Rio do Sul
br,,,208632789,Rio Grande
br,,,277322150,Salvador
br,,,217056756,Santa Cruz do Sul
br,,,217128617,Santa Maria
br,,,238873347,Santo André
br,,,237793367,Santos
br,,,238657346,São Bernardo do Campo
br,,,239125342,São Caetano do Sul
br,,,244741211,São Carlos
br,,,284378279,São Cristóvão
br,,,249133061,São José do Rio Preto
br,,,240493412,São José dos Campos
br,,,216804885,São Leopoldo
br,,,315013570,São Luís
br,,,239305337,São Paulo
br,,,242113628,Seropédica
br,,,310729965,Sobral
br,,,279337356,Taguatinga
br,,,241141444,Taubaté
br,,,305653720,Teresina
br,,,247801696,Tocantins
br,,,221485098,Tubarão
br,,,252877206,Uberaba
br,,,255973172,Uberlândia
br,,,216840291,Uruguaiana
br,,,243373633,Vassouras
br,,,249277712,Viçosa
br,,,250861972,Vila Velha
br,,,250897969,Vitória
br,,,270553916,Vitória da Conquista
bb,,,,-- please select
bb,,,371208039,Bridgetown
bb,,,10103,Christ Church
bn,,,,-- please select
bn,,,341777495,Bandar Seri Begawan
bn,,,10076,Gadong
bt,,,,-- please select
bt,,,422846967,Thimphu
bv,,,,-- please select
bw,,,,-- please select
bw,,,247808750,Francistown
bw,,,235280591,Gaborone
bw,,,252056342,Maun
bw,,,242804713,Palapye
cf,,,,-- please select
cf,,,339715856,Bangui
ca,,,,-- please select
ca,,,500621770,Abbotsford
ca,,,488243803,Antigonish
ca,,,520998673,Athabasca
ca,,,10067,Brampton
ca,,,503432004,Brandon
ca,,,10068,Burnaby
ca,,,507786594,Calgary
ca,,,514878716,Camrose
ca,,,501558233,Castlegar
ca,,,490475686,Charlottetown
ca,,,498358892,Chicoutimi-Jonquière
ca,,,502889500,Courtenay
ca,,,502242423,Cranbrook
ca,,,497063363,Dalhousie
ca,,,524741976,Dawson Creek
ca,,,516858646,Edmonton
ca,,,494579166,Edmundston
ca,,,489467334,Fredericton
ca,,,480825974,Guelph
ca,,,484823639,Halifax
ca,,,479746015,Hamilton
ca,,,506453966,Kamloops
ca,,,503610054,Kelowna
ca,,,483238350,Kingston
ca,,,480465950,Kitchener
ca,,,10069,Langley
ca,,,10070,Laval
ca,,,502890717,Lethbridge
ca,,,478701876,London
ca,,,504437922,Merritt
ca,,,479710092,Mississauga Beach
ca,,,489935522,Moncton
ca,,,487882643,Montreal
ca,,,501161603,Nanaimo
ca,,,10071,New Westminster
ca,,,490690055,North Bay
ca,,,482014114,Oshawa
ca,,,487522429,Ottawa
ca,,,483490166,Peterborough
ca,,,518081723,Prince George
ca,,,492562877,Quebec
ca,,,505627539,Regina
ca,,,498395146,Rimouski
ca,,,497674097,Rouyn-Noranda
ca,,,489179565,Sackville
ca,,,479458076,Saint Catharines-Niagara
ca,,,487055394,Saint John
ca,,,495300731,Saint John's
ca,,,511747334,Saskatoon
ca,,,10072,Scarborough
ca,,,487450810,Sherbrooke
ca,,,495839530,Shippagan
ca,,,502925684,Squamish
ca,,,491373899,Sudbury
ca,,,10073,Surrey
ca,,,490151983,Sydney
ca,,,498321072,Thunder Bay
ca,,,481150062,Toronto
ca,,,490870743,Trois-Rivières
ca,,,501413687,Vancouver
ca,,,498353663,Victoria
ca,,,487270748,Waterloo
ca,,,542632495,Whitehorse
ca,,,476289697,Windsor
ca,,,503576283,Winnipeg
ca,,,486299563,Wolfville
cc,,,,-- please select
ch,,,,-- please select
ch,,,495270758,Basel
ch,,,493038744,Bern
ch,,,10087,Bluche
ch,,,490806798,Brig-Glis
ch,,,494982819,Brugg
ch,,,493830946,Buchs
ch,,,491850704,Bulle
ch,,,492714953,Chur
ch,,,494622965,Diepoldsau
ch,,,492534714,Fribourg
ch,,,490374614,Geneva
ch,,,491166627,Gland
ch,,,10086,Glion
ch,,,491490662,Lausanne
ch,,,490878702,Leysin
ch,,,490266879,Locarno
ch,,,489654894,Lugano
ch,,,493434830,Luzern
ch,,,493254692,Neuchâtel
ch,,,490050792,Saas Fee
ch,,,494802936,Saint Gall
ch,,,495054872,Winterthur
ch,,,493866852,Zug
ch,,,494586854,Zurich
cl,,,,-- please select
cl,,,238870961,Antofagasta
cl,,,257446970,Arica
cl,,,192250789,Chillán
cl,,,191422695,Concepción
cl,,,225514966,Copiapó
cl,,,251182986,Iquique
cl,,,216370875,La Serena
cl,,,180550717,Los Lagos
cl,,,132634907,Punta Arenas
cl,,,203050930,San Bernardo
cl,,,206110928,San Felipe
cl,,,203554936,Santiago
cl,,,196498834,Talca
cl,,,184582742,Temuco
cl,,,180658677,Valdivia
cl,,,205066836,Valparaíso
cl,,,205174845,Viña del Mar
cn,,,,-- please select
cn,,,463961548,Baoding
cn,,,442649733,Bengbu
cn,,,481962535,Changchun
cn,,,425549297,Changsha
cn,,,438437997,Changzhou
cn,,,434440407,Chengdu
cn,,,430480658,Chongqing
cn,,,464142165,Dalian
cn,,,441209150,Danjiangkou
cn,,,10063,Daqing
cn,,,407009373,Dongguan
cn,,,459029852,Dongying
cn,,,406937312,Foshan
cn,,,474762388,Fushun
cn,,,475446174,Fuxin
cn,,,417917930,Fuzhou
cn,,,407261325,Guangzhou
cn,,,415037028,Guilin
cn,,,419716672,Guiyang
cn,,,396209032,Haikou
cn,,,465508683,Hainan
cn,,,432930017,Hangzhou
cn,,,488730665,Harbin
cn,,,438689728,Hefei
cn,,,420833262,Hengyang
cn,,,470981164,Hohhot
cn,,,423244994,Huaihua
cn,,,441497698,Huainan
cn,,,407117440,Huizhou
cn,,,405317308,Jiangmen
cn,,,481890655,Jilin
cn,,,456041700,Jinan
cn,,,429401718,Jingdezhen
cn,,,433289218,Jingzhou
cn,,,428861965,Jinhua
cn,,,472062110,Jinzhou
cn,,,425980972,Jishou
cn,,,449489435,Kaifeng
cn,,,414208270,Kunming
cn,,,453808368,Lanzhou
cn,,,430767110,Lasa
cn,,,455177597,Liaocheng
cn,,,453917152,Linfen
cn,,,427996538,Luzhou
cn,,,411617612,Meizhou
cn,,,437320477,Mianyang
cn,,,427277588,Nanchang
cn,,,434836613,Nanchong
cn,,,439409878,Nanjing
cn,,,406180832,Nanning
cn,,,430516505,Neijiang
cn,,,431598155,Ningbo
cn,,,419716168,Panzhihua
cn,,,467777640,Peking
cn,,,453882032,Qingdao
cn,,,467777962,Qinhuangdao
cn,,,413669858,Quanzhou
cn,,,452189697,Qufu
cn,,,436458147,Shanghai
cn,,,408161667,Shantou
cn,,,413309358,Shaoguan
cn,,,474510345,Shenyang
cn,,,405137413,Shenzhen
cn,,,483506603,Shihezi
cn,,,461009448,Shijiazhuang
cn,,,436710062,Suzhou
cn,,,454349712,Taian
cn,,,460361255,Taiyuan
cn,,,440993990,Taizhou
cn,,,464897720,Tianjin
cn,,,481706758,Urumqi
cn,,,424902065,Wenzhou
cn,,,434117427,Wuhan
cn,,,436889837,Wuhu
cn,,,437718030,Wuxi
cn,,,10062,Wuzhishan City
